[2026-01-07 08:51:07] Suma: 1295 | Średnia: 64.75 | Min: 3 | Max: 97 | Parzyste: 9 | Nieparzyste: 11
[2026-01-07 08:51:08] Suma: 1015 | Średnia: 50.75 | Min: 3 | Max: 89 | Parzyste: 13 | Nieparzyste: 7
[2026-01-07 08:51:08] Suma: 1129 | Średnia: 56.45 | Min: 5 | Max: 96 | Parzyste: 9 | Nieparzyste: 11
[2026-01-07 08:51:08] Suma: 869 | Średnia: 43.45 | Min: 5 | Max: 94 | Parzyste: 11 | Nieparzyste: 9
[2026-01-07 08:51:09] Suma: 1090 | Średnia: 54.5 | Min: 2 | Max: 100 | Parzyste: 14 | Nieparzyste: 6
[2026-01-07 08:51:09] Suma: 875 | Średnia: 43.75 | Min: 2 | Max: 89 | Parzyste: 9 | Nieparzyste: 11
[2026-01-07 08:51:09] Suma: 1116 | Średnia: 55.8 | Min: 3 | Max: 96 | Parzyste: 12 | Nieparzyste: 8
[2026-01-07 08:51:09] Suma: 1035 | Średnia: 51.75 | Min: 7 | Max: 98 | Parzyste: 7 | Nieparzyste: 13
[2026-01-07 08:51:09] Suma: 978 | Średnia: 48.9 | Min: 6 | Max: 96 | Parzyste: 12 | Nieparzyste: 8
[2026-01-07 08:51:09] Suma: 914 | Średnia: 45.7 | Min: 2 | Max: 86 | Parzyste: 12 | Nieparzyste: 8
[2026-01-07 08:51:10] Suma: 964 | Średnia: 48.2 | Min: 4 | Max: 98 | Parzyste: 10 | Nieparzyste: 10
[2026-01-07 08:51:10] Suma: 1134 | Średnia: 56.7 | Min: 21 | Max: 93 | Parzyste: 10 | Nieparzyste: 10
[2026-01-07 08:51:10] Suma: 1114 | Średnia: 55.7 | Min: 14 | Max: 97 | Parzyste: 10 | Nieparzyste: 10
[2026-01-07 08:51:15] Suma: 912 | Średnia: 45.6 | Min: 2 | Max: 85 | Parzyste: 8 | Nieparzyste: 12
